City	State	Yrs	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Annual
YUMA	AZ	45	3	2	2	1	*	*	1	2	1	1	1	2	16
BISHOP	CA	61	3	3	2	2	2	1	1	1	1	1	2	2	21
LAS VEGAS	NV	60	3	3	2	1	1	0	2	2	1	1	1	2	19
PHOENIX	AZ	69	3	4	3	1	0	0	4	4	2	2	2	3	28
ALAMOSA	CO	62	3	4	5	5	5	5	8	10	6	4	3	3	61
PUEBLO	CO	66	4	4	6	6	8	7	9	8	4	3	3	3	65
GOODLAND	KS	88	4	4	6	7	9	9	8	8	5	4	4	3	71
NORTH PLATTE	NE	56	4	5	6	8	10	9	9	8	6	5	4	3	77
CLAYTON	NM	59	3	3	4	5	7	7	9	9	5	3	3	3	61
ROSWELL	NM	36	3	3	3	2	4	4	6	7	6	4	2	3	47
EL PASO	TX	69	3	3	2	1	2	3	7	7	5	4	2	3	42
LUBBOCK	TX	62	3	4	4	4	7	7	6	6	5	5	3	3	57
MIDLAND-ODESSA	TX	61	3	3	2	3	5	4	4	5	5	4	3	3	44
SAN ANGELO	TX	61	4	4	4	4	6	5	4	5	5	5	3	3	52
TUCSON	AZ	68	4	3	4	1	1	1	10	9	4	3	2	4	46
WINSLOW	AZ	77	4	4	4	3	2	2	6	8	5	3	3	4	48
COLORADO SPRINGS	CO	60	4	4	7	7	10	9	12	12	6	4	4	4	83
FORT MYERS	FL	65	5	5	5	4	7	15	18	17	15	7	4	4	106
CONCORDIA	KS	46	5	4	7	9	11	9	8	8	7	6	5	4	83
DODGE CITY	KS	66	4	4	6	6	9	8	8	8	5	5	4	4	71
GRAND ISLAND	NE	70	5	5	7	8	11	9	8	7	7	5	4	4	80
VALENTINE	NE	53	4	5	6	8	10	10	9	7	6	5	4	4	78
ALBUQUERQUE	NM	69	3	4	4	3	4	3	8	9	5	4	3	4	54
ABILENE	TX	69	5	5	5	5	7	6	4	5	5	5	4	4	60
AMARILLO	TX	67	3	4	5	5	8	8	7	8	5	4	3	4	64
DEL RIO	TX	45	4	4	5	5	6	5	4	4	5	5	4	4	55
WICHITA FALLS	TX	65	4	5	6	6	8	6	5	5	6	6	4	4	65
LANDER	WY	62	4	5	7	8	8	6	5	4	5	5	5	4	66
BARROW	AK	88	4	4	3	4	4	5	8	10	10	11	6	5	74
BARTER IS.	AK	39	5	5	5	6	6	6	8	12	10	12	8	5	88
BIG DELTA	AK	48	5	4	4	3	7	11	14	12	8	8	7	5	88
BAKERSFIELD	CA	71	6	6	6	4	1	0	0	0	1	2	4	5	35
LONG BEACH	CA	64	5	5	5	3	1	1	1	1	1	2	3	5	33
LOS ANGELES AP	CA	73	6	6	5	3	1	0	0	1	1	2	3	5	33
LOS ANGELES C.O.	CA	68	6	5	5	3	1	0	1	1	1	2	3	5	33
SANTA BARBARA	CA	72	5	6	6	1	1	0	0	1	1	2	3	5	31
DENVER	CO	66	5	5	8	8	10	8	9	8	6	5	5	5	82
GRAND JUNCTION	CO	62	6	6	7	6	6	3	4	6	6	5	5	5	65
WICHITA	KS	55	5	5	7	7	10	9	7	7	7	6	5	5	80
LINCOLN	NE	37	5	5	8	9	11	9	9	8	7	6	5	5	87
NORFOLK	NE	63	5	5	7	9	11	9	8	8	7	5	5	5	84
SCOTTSBLUFF	NE	65	5	5	7	8	11	10	8	6	6	5	4	5	80
OKLAHOMA CITY	OK	69	5	6	7	7	9	8	6	6	7	6	5	5	77
HURON	SD	69	5	6	7	8	10	10	8	8	6	6	5	5	84
RAPID CITY	SD	66	6	6	8	9	11	12	9	7	6	5	5	5	89
CHEYENNE	WY	73	5	6	9	9	12	10	10	10	7	5	5	5	93
FLAGSTAFF	AZ	59	7	7	8	5	4	2	11	12	6	4	5	6	77
SAN DIEGO	CA	68	6	6	6	4	1	0	1	0	1	2	4	6	37
GAINESVILLE	FL	25	8	7	7	5	6	14	15	15	11	7	6	6	107
KEY WEST	FL	60	6	5	5	4	7	11	12	14	16	11	6	6	103
MIAMI	FL	66	6	6	6	6	10	15	16	17	17	13	8	6	126
ORLANDO	FL	66	6	6	7	5	8	14	17	16	13	8	5	6	111
TAMPA	FL	62	6	6	6	4	5	12	15	16	12	6	5	6	99
SIOUX CITY	IA	68	6	6	8	9	11	10	8	9	8	6	5	6	92
TOPEKA	KS	62	6	6	8	9	11	10	8	8	7	7	6	6	92
BILLINGS	MT	74	7	7	9	9	11	11	7	6	7	6	6	6	92
OMAHA EPPLEY AP	NE	72	6	6	8	9	11	10	9	8	8	6	5	6	92
ELY	NV	70	6	7	7	7	7	4	5	5	4	4	5	6	67
