1	2a	2b	3	4	5	6	7	8a	8b	Total
10	5	10	10	7	7	9	10	5	10	83
10	0	0	5	7	9	6	10	9	8	64
9	4	10	8	8	3	4	10	0	0	56
10	4	10	7	8	6	5	10	9	9	78
10	5	10	10	9	9	10	10	10	10	93
3	3	8	3	6	0	1	0	5	0	29
9	0	0	7	6	0	2	6	9	3	42
4	2	9	2	8	3	3	0	9	0	40
5	2	10	3	5	1	3	6	8	6	49
10	3	10	8	9	5	8	10	9	7	79
9	1	8	3	8	1	0	7	9	8	54
10	2	9	4	9	2	3	8	8	6	61
10	3	10	8	4	1	1	4	9	6	56
10	8	10	3	9	2	6	10	9	8	75
10	0	0	3	5	1	3	6	9	5	42
10	5	10	10	10	8	10	10	7	10	90
7	3	9	3	9	0	3	10	9	1	54
5	8	10	0	10	5	0	6	9	8	61
10	9	0	7	8	6	4	10	10	5	69
7	3	10	7	8	6	3	7	9	8	68
10	3	10	4	9	2	1	10	9	5	63
10	4	9	9	10	8	7	10	10	8	85
8	6	10	5	9	0	3	10	9	4	64
10	3	10	4	10	2	3	2	7	4	55
5	3	10	2	8	5	7	7	9	0	56
10	10	9	9	9	2	2	8	9	8	76
7	5	10	4	8	4	10	8	9	7	72
10	4	9	4	7	2	3	8	9	1	57
10	3	10	8	10	6	3	10	9	5	74
10	8	10	7	9	2	3	10	7	0	66
5	3	9	3	7	1	3	8	9	7	55
4	2	10	4	7	1	4	7	7	0	46
10	2	9	3	9	1	3	10	9	5	61
7	3	9	4	8	0	3	7	7	5	53
5	3	8	8	9	0	4	6	9	8	60
10	2	10	8	8	0	3	10	7	0	58
10	10	10	3	10	2	5	10	9	7	76
10	1	9	8	9	1	3	6	9	6	62
10	5	9	10	9	7	7	10	9	8	84
10	5	10	8	10	4	1	10	10	6	74
10	5	10	10	10	8	10	8	10	9	90
3	3	10	4	7	1	3	1	8	4	44
9	10	10	10	9	9	9	10	10	10	96
10	9	10	4	10	1	2	2	10	6	64
10	3	10	5	9	1	3	6	9	7	63
2	1	1	1	7	1	3	0	7	4	27
7	2	9	7	0	4	1	4	7	0	41
2	3	10	2	8	0	3	5	7	0	40
9	4	9	5	8	2	3	7	9	5	61
10	9	10	8	9	0	0	10	9	8	73
10	0	10	8	9	2	3	6	8	8	64
10	1	1	1	10	2	3	8	9	6	51
9	2	9	6	7	3	0	7	6	8	57
10	4	10	8	6	1	4	10	0	0	53
10	5	10	8	7	1	3	3	7	6	60
8	3	7	3	9	2	2	10	9	5	58
9	4	5	3	9	1	3	1	0	0	35
9	10	10	8	7	10	3	10	9	8	84
9	4	10	8	9	7	10	10	10	8	85
5	3	10	7	9	2	0	7	8	4	55
0	4	9	6	8	4	10	10	10	10	71
8	0	0	2	0	1	3	5	8	3	30
